Puzzle,Solution
0203040000044032,1243342123144132
4203010003411430,4213312423411432
0003002114303004,2143432114323214
3402120440200041,3412123441232341
0140403100200310,3142423114232314
0100000100001320,4132324124131324
2140402010023000,2143432114323214
1203040103044130,1243342123144132
1423231000003000,1423231442313142
0004040243010000,3214143243212143
0100420014022340,3124421314322341
0040140031200203,2341143231244213
0042020120140400,3142423123141423
0000010010000403,3241413213242413
1003304001340000,1423324121344312
0402000303040031,3412214313244231
1003000442303140,1423231442313142
0010040030400000,2314142331424231
3204410300400001,3214412313422431
2000000003000203,2431312443121243
3001403020130320,3241413224131324
3001104003000002,3421124323144132
1030234030040010,1432234131244213
0000230400003000,1423231442313142
1023231430020001,1423231431424231
2003030032100402,2143432132141432
1240340041002004,1243342141322314
2031002403020200,2431312443121243
4203000003401000,4213312423411432
1000000100033000,1342243141233214
0400031400004200,1423231431424231
0014040001434301,3214143221434321
0000001310022001,3124421314322341
1004041300000000,1324241341323241
0401104202004120,2431134232144123
1000430004010000,1243431224313124
4002001010430020,4132231412433421
0043430002000002,2143432132141432
0100420000140403,3142423123141423
1432320000400321,1432321421434321
2430134002000023,2431134232144123
4000301400000040,4123321424311342
0300000030202000,4312124331242431
0004001040303201,1324241341323241
4010000000200001,4312124331242431
0310020020313120,4312124324313124
0024003000100043,1324423134122143
0420004143100104,1423324143122134
4320100400000000,4321123431422413
0400200042003000,1432234142133124
4000000030240001,4312124331242431
0000001010004020,3142241312344321
0000002000044010,3241142321344312
0400300021000302,1423324121344312
2300002034000000,2341412334121234
0002004300004001,3412214313244231
4200000020033002,4231132421433412
4320200030141000,4321214332141432
3400014013000200,3412214313244231
4003130230012030,4213134234212134
0003320001044302,1423324121344312
1000030402000000,1423231442313142
3240003200000004,3241413224131324
3042201003001030,3142241343211234
4020000002101000,4321214332141432
3400100320144100,3421124323144132
2310000230011040,2314413234211243
1040002123040002,1243342123144132
4300214330100000,4321214332141432
0010000004013120,4312124324313124
0003100000404130,2413132432414132
0041000020040002,3241142321344312
1400031000300100,1423231442313142
2400000441320240,2413132441323241
0020000040322000,3421124341322314
0000023134120003,1324423134122143
0004030020003040,1234432124133142
0000002404000043,4231132434122143
4002004000040000,4132324113242413
4013104230002000,4213134234212134
0320210004000200,4321214314323214
0020200040001200,3124243143121243
1402000000000021,1432321421434321
3420200000400203,3421213413424213
0030040003014000,1234341223414123
1402230140100104,1432234142133124
0200040023014000,1234341223414123
0431300000004310,2431312412434312
0032234101000003,1432234131244213
0402000400000020,3412123423414123
1023201042000140,1423231442313142
0002010302310304,3412214342311324
2401104001203014,2431134241233214
0302100000300004,4312124324313124
0004140340310042,2314142342313142
1040340000300010,1243342141322314
3400014302000020,3412214342311324
2000402000020234,2341412334121234
0310004300002001,4312124331242431
4300020004103142,4321123424133142
0000020003020400,4123321413422431
2000010040210000,2413314243211234
0410004313000030,3412214313244231
0431104032044020,2431134232144123
4010000400002000,4213312414322341
3214010024010002,3214412324311342
0104400032000000,2134431232411423
3040140040120130,3241142343122134
3402000040011000,3412214342311324
4201000020403402,4231132421433412
0400003000020200,3421213413424213
2003004000340321,2413314212344321
3400013000030000,3421213442131342
0231002000102140,4231132434122143
0143000040000020,2143341242311324
4000100034012034,4213134234212134
1004400020000002,1324423121433412
0001034000000004,2431134241233214
1000001020300104,1243431224313124
2000400010203001,2134431214233241
0130201400403401,4132231412433421
0120200103120040,3124243143121243
2001002000100043,2431312443121243
0020000000002031,4123321413422431
1000420301343400,1342421321343421
4301020024103040,4321123424133142
0420003013404000,3421213413424213
3402210300204000,3412214313244231
3002403100040403,3142423123141423
0002400330202034,1342421334212134
0000000002100104,1432234142133124
4031004000000000,4231314214232314
0120400023001432,3124421323411432
0001302012404302,2431312412434312
4300210004203240,4312213414233241
0310002342000142,2314142342313142
4000210330001000,4321214332141432
1004300041032040,1234341241232341
0104000204233000,2134431214233241
2130030232001420,2134431232411423
0000432000000002,1234432124133142
1000030400000200,1423231431424231
0102320013240410,4132324113242413
0100001430200000,4132231434211243
2043030100100402,2143432132141432
0000301041232300,1234341241232341
0400304240211200,2413314243211234
0000420004320041,3124421314322341
0040402032001000,2143432132141432
0020004300003010,4321214314323214
3421020020140102,3421124323144132
2000042000000302,2134342142131342
4310024000003020,4312124324313124
1304020030000100,1324423134122143
4103200134020204,4123234134121234
1423004001044002,1423324121344312
0021214330040030,4321214332141432
0000002403001003,2431312443121243
0100400030001003,2134431232411423
4000203000200200,4312213414233241
0300004330200431,4312124331242431
0000400013002013,3241413213242413
3002010042301324,3412214342311324
3000402304001002,3214412324311342
0302000000033004,1342243141233214
0014100001404020,3214143221434321
1324001002010132,1324241332414132
0001300010000004,4231314214232314
4013312003410030,4213312423411432
0300413200033400,2314413212433421
0032031404000203,4132231434211243
3210000000000103,3214143243212143
0042020000001420,3142423123141423
0310020000202430,4312124331242431
0003001031042431,1243431231242431
0000000201340401,4213134221343421
4132001410430001,4132231412433421
3120001310022000,3124421314322341
0402030040100004,1432234142133124
0400000040300002,1423231442313142
0100000020000403,3142423123141423
0002231002003421,4132231412433421
4302104000200431,4312124331242431
0001103401000013,4321123431422413
4103204002000010,4123234112343412
0401213042100340,3421213442131342
0200034004010000,4213134234212134
0340000300340000,2341412312343412
0020010310323204,4321214314323214
1203040100022314,1243342141322314
1040302001322014,1243342141322314
0000200030140020,1342243132144123
0134302110004010,2134342113424213
1000000000022043,1324423134122143
0012210000310000,3412214342311324
3002241040000030,3142241343211234
1243002000100132,1243342123144132
0000020301320014,3421124341322314
0000000010303002,2341412312343412
0100020000001040,4123321424311342
0020030430020231,1423231431424231
1024000040300241,1324241341323241
4003200000003012,4123234112343412
0014000003000001,3214412313422431
0204040001000041,1234341241232341
0410000000000031,3412214313244231
0000000020100102,3421124323144132
3210010004001302,3214412324311342
3214143200002100,3214143243212143
0000002100041000,2143432132141432
0041103201004203,2341143231244213
0012010300000000,3412214342311324
0103301200240231,2143341213244231
0000100400004030,2413132432414132
0020001320410002,3124421323411432
0430030040030000,1432234142133124
0403010000000200,2413314243211234
4000300400020300,4213312414322341
0001000000204203,2341143231244213
0201000003141003,4231314223141423
0300421300000004,1342421334212134
0000003001400013,4321123431422413
